person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Frederick Nolting,https://vi.wikipedia.org/wiki/Frederick_Nolting,Đại học Harvard,,,,,Mỹ; Richmond; Virginia,Phó Tổng thống Hoa Kỳ Lyndon B. Johnson; Tổng thống VNCH Ngô Đình Diệm; Đại sứ Frederick Nolting tại Phủ Tổng thống Việt Nam Cộng hòa năm 1961,,,Charlottesville; Mỹ; Virginia,,,,,,Lbj diem nolting.jpg,,,,Frederick Nolting,,,Đại sứ Hoa Kỳ tại Việt Nam Cộng hòa,,,,Elbridge Durbrow,,,,John F. Kennedy,,,,,,Henry Cabot Lodge Jr,,,,<ref> </ref>,,,,,,,,,,
Frederick W. Smith,https://vi.wikipedia.org/wiki/Frederick_W._Smith,Đại học Yale,,Bronze Star; Purple Heart (2); Silver Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaiutra Bahadur,https://vi.wikipedia.org/wiki/Gaiutra_Bahadur,Đại học Yale,Yale University,,<!--   -->1975,,Guyana; New Amsterdam,,,<!--   -->,,,,,,,,,,,Gaiutra Bahadur,American,Writer and journalist,,,,,,,,,,,,,,<!-- or: | spouses = -->,,,,,,,,,,,,,,,
Gary Schiff,https://vi.wikipedia.org/wiki/Gary_Schiff,Đại học Minnesota,Đại học Minnesota (B.A.),,,Gary J. Schiffhauer,New York; Youngstown,Schiff tuyên bố ứng cử vào chức thị trưởng thành phố Minneapolis vào năm 2013,,,,,,,,,Gary Schiff launches his campaign for Minneapolis Mayor 8426916171 o.jpg,,250px,,Gary Schiff,,Nhà hoạt động,,Thành viên của Hội đồng Thành phố Minneapolis từ phường 9,,Dân chủ-Nông dân-Lao động,,Kathy Thurber,,,,,,Corcoran; Minneapolis,,,,Alondra Cano,,,,6 tháng 1 năm 2014,,,,17 tháng 12 năm 2001,,,,,
George Akerlof,https://vi.wikipedia.org/wiki/George_Akerlof,Viện Công nghệ Massachusetts; Đại học Yale,MIT (Ph.D.); Đại học Yale (B.A.),Giải Nobel Kinh tế (2001),,George Arthur Akerlof,Connecticut; New Haven,,,,,,,,,,George Akerlof.jpg,225px,,,George Akerlof,Hoa Kỳ,,,,,,,,,,,Giải Nobel Kinh tế (2001),,,,Janet Yellen,,,,,,,,,,,,,,,
George Dantzig,https://vi.wikipedia.org/wiki/George_Dantzig,Đại học Michigan,Berkeley; Cử nhân– University of Maryland; Thạc sĩ – Đại học Michigan; Tiến sĩ Triết học – University of California,Harvey Prize (1985); Huân chương Khoa học Quốc gia (Mỹ) trong Toán học; John von Neumann Theory Prize [1974]; Khoa học Máy tính (1975); Thống kê,,,Oregon; Portland,,,,California; Stanford,Jerzy Neyman,<!-- Earl Bell; <!-- Muhamed Aganagic; <!-- Philip Abrahamson; <!-- Ronald Davis; >; > Ilan Adler; > John Birge; > Kurt Anstreicher; Alamuru Krishna; Alan Tucker; Alfredo Iusem <!; André Perold --> <!-- John Pisa; Carlos Winkler-Piwenka -->; Chang Yu; Craig Tovey; Dan Scott; David Morton <!; Edward Klotz -->; Ellis L. Johnson <!; Eric Horvitz; Gregory Dobson --> B. Curtis Eaves <!; Hiroshi Konno <!; Hui Hu -->; Irvin Lustig; James Bigelow; Jeffrey Adachi; John Stone -->; Jr; Mark Prindiville; Mostafa El Agizy; Mukund Thapa; Paul Rech; Peter Jackson -->; Pierre De Mazancourt; Richard Van Slyke; Richard W. Cottle; Richard Wollmer -->; Robert Entriken -->; Robert Fourer; Robert Leary-->; Robert Wittrock <!; Roger J-B Wets <!; S. Thomas McCormick; Samirendra Sinha; Saul Gass <!; Stepan Karamardian; Stephanie Leichner; Steven Maier -->; Thomas Magnanti <!; Vincent Nicholson --> <!; Yinyu Ye <!,,,Khoa học Thống kê; Kinh tế học; Toán học; Vận trù học; khoa học máy tính,George_B._Dantzig_at_National_Medal_of_Science_Awards_Ceremony; _1976.jpg,210px,,Complementary pivot algorithms; Dantzig-Wolfe decomposition principle; Generalized linear programming; Generalized upper bounding; Linear complementary problem; Quy hoạch toàn phương; Quy hoạch tuyến tính; Stochastic programming; Thuật toán đơn hình; Định lý luồng cực đại lát cắt cực tiểu,George Bernard Dantzig,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,Phòng Quản lý Thống kê Không quân Hoa Kỳ; RAND Corporation; Đại học California tại Berkeley; Đại học Stanford
George Davis Snell,https://vi.wikipedia.org/wiki/George_Davis_Snell,Đại học Harvard,,,19.12.1903,,Bradford; Hoa Kỳ; Massachusetts,George Davis Snell,,6.6.1996,Bar Harbor; Maine,,,,Di truyền học; Miễn dịch học,,Replace_this_image_male.svg,150px,,,George Davis Snell,Mỹ,,,,,,,,,,,Giải Nobel Sinh lý; Giải Wolf về Y học; Y khoa (1980),,,,,,,,,,,,,,,,,,,
George Gaylord Simpson,https://vi.wikipedia.org/wiki/George_Gaylord_Simpson,Đại học Yale,,,16 tháng 6 năm 1902,,Chicago; Illinois; Mỹ,,,,California; Fresno; Mỹ,,,,Sinh học,,,220px,,Thuyết tiến hóa tổng hợp hiện đại,George Gaylord Simpson,,,,,,,,,,,,* Huy chương Daniel Giraud Elliot năm 1944; * Huy chương Daniel Giraud Elliot năm 1965; * Huy chương Darwin năm 1962; * Huy chương Darwin-Wallace năm 1958; * Huy chương Hội Cổ sinh vật học năm 1973; * Huy chương Linnean năm 1962; * Huy chương Mary Clark Thompson năm 1943; * Huy chương Penrose năm 1952; * Huân chương Khoa học Quốc gia năm 1965; * Ủy viên của Hội Hoàng gia <ref> </ref>,,,,,,,,,,,,,,,,,,Đại học Columbia,
George McGovern,https://vi.wikipedia.org/wiki/George_McGovern,Đại học Northwestern,Northwestern University  }},Air Medal (3); Distinguished Flying Cross,,George Stanley McGovern,Avon; Hoa Kỳ; South Dakota,,,,,,,,,,200px,,,,George McGovern,,,,Thượng nghị sĩ Hoa Kỳ từ South Dakota,Chair of the United States Senate Select Committee on Nutrition and Human Needs,Democratic,,Joseph Bottum,''Committee created'',Harold Lovre,,,United Methodist,,George McGovern Signature.svg,,,James Abdnor,''Committee abolished'',Ben Reifel,,3 tháng 1 năm 1981,December 1977,ngày 3 tháng 1 năm 1961,,3 tháng 1 năm 1963,July 1968,ngày 3 tháng 1 năm 1957,,,
George Minot,https://vi.wikipedia.org/wiki/George_Minot,Đại học Harvard,Đại học Harvard,,2 tháng 12 năm 1885,,Boston; Massachusetts,,,25 tháng 2 năm 1950,,,,,,,George Minot nobel.jpg,,,Bệnh thiếu máu,George Minot,,,,,,,,,,,,Giải Nobel Sinh lý học hoặc Y học năm 1934,,,,,,,,,,,,,,,,,,,
George P. Shultz,https://vi.wikipedia.org/wiki/George_P._Shultz,Viện Công nghệ Massachusetts,,,13 tháng 12; 1920,,New York; New York City,,,2021 (100 tuổi); 6 tháng 2,California; Stanford,,,,,,George P. Shultz; U.S. Secretary of State (2380044373).jpg,,220px,,George Pratt Shultz,,,Bộ trưởng Ngoại giao Hoa Kỳ thứ 60,,Bộ trưởng Ngân khố Hoa Kỳ thứ 66,Cộng Hòa,Alexander Haig,,John Connally,,Ronald Reagan,,Công hội Thánh,,,Charlotte Mailliard Shultz; Helena Maria O'Brien,James Baker,,William E. Simon,,20 tháng 1 năm 1989,,tháng 5 năm 1974,,16 tháng 7 năm 1982,,tháng 5 năm 1972,,,,
George Papandreou,https://vi.wikipedia.org/wiki/George_Papandreou,Đại học Harvard,Học viện Amherst; Trường Kinh tế London,,,,Minnesota; Mỹ; Saint Paul,,Andreas; Margarita-Elena,,,,,,,,Papandreou handover cropped.jpg,,,,<small>Γεώργιος Παπανδρέου</small>; Georgios Papandreou,,,Thủ tướng Hy Lạp,,Chủ tịch Quốc tế xã hội chủ nghĩa,Phong trào Xã hội Panhellenic,Kostas Karamanlis,,António Guterres,Costas Simitis,Karolos Papoulias,,Chính thống Hy Lạp,Athens; Hy Lạp,,Ada Papapanou,Lucas Papademos,,,Được bầu,11 tháng 11 năm 2011,,,11 tháng 11 năm 2011,6 tháng 10 năm 2009,,30 tháng 1 năm 2006,8 tháng 2 năm 2004,,,
George Smith (nhà hóa học),https://vi.wikipedia.org/wiki/George_Smith_%28nh%C3%A0_h%C3%B3a_h%E1%BB%8Dc%29,Đại học Harvard,Harvard University; Haverford College,"* Fellow of the American Association for the Advancement of Science  <ref name=""MU"" />; * Giải Nobel hóa học  <ref> </ref>}}; {{Plainlist|",,George Pieczenik Smith,Connecticut; Norwalk; United States,,,,,Edgar Haber,,,Hóa sinh,,,,,Phage displays,George Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke University (Vis); University of Missouri-Columbia (Prof); University of Wisconsin (PSD)
George Stigler,https://vi.wikipedia.org/wiki/George_Stigler,Đại học Northwestern,Đại học Chicago (Ph.D.); Đại học Northwestern (MBA); Đại học Washington (BA),Giải Nobel Kinh tế (1982); Huân chương Khoa học Quốc gia (1987),,,Seattle; Washington,,,,Chicago; Illinois,,,,Kinh tế,,George Stigler.jpg,,,,George Stigler,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George W. Bush,https://vi.wikipedia.org/wiki/George_W._Bush,Đại học Yale,Đại học Harvard; Đại học Yale,Air Force Pilot's Badge; National Defense Service Medal; Outstanding Unit Award; Small Arms Expert Marksmanship Ribbon.<ref>[http://www.veterantributes.org/TributeDetail.php?recordID=1627 Veteran Tributes: George W. Bush]</ref>,,,Connecticut; Hoa Kỳ; New Haven,2003; Chân dung chính thức,Barbara; Jenna,,,,,,,,George-W-Bush.jpeg,,250px,,George W. Bush,,,30px; Tổng thống thứ 43 của Hoa Kỳ,Thống đốc thứ 46 của bang Texas,,Đảng Cộng hòa,Bill Clinton,,Ann Richards,,,,,,GeorgeWBush Signature.svg,(kh. 1977); Laura Welch,Barack Obama,,Rick Perry,,20 tháng 1 năm 2009,,21 tháng 12 năm 2000,,20 tháng 1 năm 2001,,17 tháng 1 năm 1995,,,,
George Whipple,https://vi.wikipedia.org/wiki/George_Whipple,Đại học Johns Hopkins; Đại học Yale,,,,George Hoyt Whipple,Ashland; Hoa Kỳ; New Hampshire,,,,Hoa Kỳ; New York; Rochester,,,,,,George Whipple nobel.jpg,,,,George Whipple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Ford,https://vi.wikipedia.org/wiki/Gerald_Ford,Đại học Michigan,Đại học Michigan; Đại học Yale,,,Jr; Leslie Lynch King,Hoa Kỳ; Nebraska; Omaha,Chân dung chính thức; năm 1974,John; Michael; Steven; Susan,,California; Hoa Kỳ; Rancho Mirage,,,,,,Gerald Ford presidential portrait (cropped).jpg,,250px,,Gerald Ford,,Luật sư,30px; Tổng thống thứ 38 của Hoa Kỳ,,30px; Phó Tổng thống thứ 40 của Hoa Kỳ,Đảng Cộng hoà,Richard Nixon,,Spiro Agnew,,,,Cơ đốc giáo (Anh giáo),,Gerald Ford Signature.svg,Betty Bloomer,Jimmy Carter,,Nelson Rockefeller,,20 tháng 1 năm 1977,,9 tháng 8 năm 1974,6 tháng 12 năm 1973,9 tháng 8 năm 1974,,6 tháng 12 năm 1973,3 tháng 1 năm 1965,,,
Gerry Studds,https://vi.wikipedia.org/wiki/Gerry_Studds,Đại học Yale,,,,Gerry Eastman Studds,Hoa Kỳ; Mineola; New York,,,,Boston; Hoa Kỳ; Massachusetts,,,MA); Đại học Yale (BA,,,S001040.jpg,,,,Gerry Studds,,,Nghị sĩ Hạ viện Hoa Kỳ; từ Massachusetts,,,Dân chủ,Hastings Keith,,,,,,,,,,Bill Delahunt,,,,3 tháng 1 năm 1997,,,,3 tháng 1 năm 1973,,,,,,
Gertrude Stein,https://vi.wikipedia.org/wiki/Gertrude_Stein,Đại học Johns Hopkins,,,,,,1935; Carl Van Vechten chụp; Gertrude Stein,,,,,,,,,Gertrude Stein 1935-01-04.jpg,,200px,,Gertrude Stein,Hoa Kỳ,nhà thơ; nhà văn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giang Nghi Hoa,https://vi.wikipedia.org/wiki/Giang_Nghi_Hoa,Đại học Yale,Đại học Yale; Đại học quốc lập Đài Loan,,,,Cơ Long; Noãn Noãn; Đài Loan,,,,,,,,,,江宜樺院長.jpg,,,,Giang Nghi Hoa,Đài Loan,,,Thủ tướng Trung Hoa Dân Quốc,Phó Thủ tướng Trung Hoa Dân Quốc,Quốc dân Đảng,,Trần Xung,Trần Xung,Liệu Liễu Dĩ,,,,,,,,Mao Trị Quốc,Mao Trị Quốc,Lý Hồng Nguyên,,8 tháng 12 năm 2014,18 tháng 2 năm 2013,6 tháng 2 năm 2012,,18 tháng 2 năm 2013,6 tháng 2 năm 2012,10 tháng 9 năm 2009,,,
Gilbert N. Lewis,https://vi.wikipedia.org/wiki/Gilbert_N._Lewis,Viện Công nghệ Massachusetts; Đại học Harvard,,,,,Massachusetts; Weymouth,Gilbert Newton Lewis,,,Berkeley; California,Theodore William Richards,Glenn T. Seaborg; Harold Urey; Joseph Edward Mayer; Michael Kasha,,Nhà hóa học vật lý,,,,,Cấu trúc Lewiss; Giải thích Lân quang; Hóa học nhiệt động lực học; Liên kết cộng hóa trị; Lý thuyết liên kết hóa trị; Nước nặng; Photon được đặt tên; base; khái niệm Lewis về axit,Gilbert N. Lewis,người Mỹ,,,,,,,,,,,"Davy Medal; Thành viên Hiệp hội Hoàng gia<ref name=""frs""/>; Willard Gibbs Award <small>(1924)</small>",,,,,,,,,,,,,,,,,,,
Gina Raimondo,https://vi.wikipedia.org/wiki/Gina_Raimondo,Đại học Yale,,,,Gina Marie Raimondo,Hoa Kỳ; Rhode Island; Smithfield,Gina Raimondo năm 2021,,,,,,Cao đẳng Harvard (AB); DPhil); New College; Oxford (MA; Đại học Yale (JD),,,Gina Raimondo.jpg,,,,,,,Bộ trưởng Thương mại Hoa Kỳ thứ 40,,,Dân chủ,Wilbur Ross,,Lincoln Chafee,Frank Caprio,Joe Biden,,,,Gina Raimondo Signature.svg,,Howard Lutnick,,Dan McKee,Seth Magaziner,20 tháng 1 năm 2025,,2 tháng 3 năm 2021,6 tháng 1 năm 2015,3 tháng 3 năm 2021,,6 tháng 1 năm 2015,4 tháng 1 năm 2011,,,
Gloria Macapagal Arroyo,https://vi.wikipedia.org/wiki/Gloria_Macapagal_Arroyo,Đại học Georgetown,Assumption College; Diliman; Đại học Ateneo de Manila; Đại học Georgetown; Đại học Philippines,,5 tháng 4 năm 1947 (  tuổi),Maria Gloria Macaraeg Macapagal,Manila; Philippines,,Diosdado; bao gồm Mikey,,,,,,,,President Arroyo (06-14-2006).jpg,,,,Gloria Macapagal Arroyo,,,Tổng thống thứ 14 của Philippines,Phó Tổng thống thứ 13 của Philippines,Bộ trưởng Quốc phòng,KAMPI; LDP; Lakas-CMD I; Lakas-CMD II,Joseph Ejercito Estrada,Joseph Estrada,Avelino Cruz,Angelo Reyes,,,,,Arroyo Signature.svg,Jose Miguel Arroyo,Benigno S. Aquino III,Teofisto Guingona,Hermogenes Ebdane,Eduardo Ermita,30 tháng 6 năm 2010,20 tháng 1 năm 2001,1 tháng 2 năm 2007,2 tháng 10 năm 2003,20 tháng 1 năm 2001,30 tháng 6 năm 1998,30 tháng 11 năm 2006,1 tháng 9 năm 2003,,,
Gonzalo de Quesada y Aróstegui,https://vi.wikipedia.org/wiki/Gonzalo_de_Quesada_y_Ar%C3%B3stegui,Đại học Columbia,,,,,Cuba; La Habana,,,,Berlin; Đế quốc Đức,,,,,,Gonzalo de Quesada y Aróstegui.jpg,,,,Gonzalo de Quesada y Aróstegui,,Luật sư; nhà hoạt động phong trào độc lập,Đại sứ Cuba tại Đế quốc Đức,,,,,,,,,,,,,,,,,,1915,,,,1912,,,,,,
Goodwin Knight,https://vi.wikipedia.org/wiki/Goodwin_Knight,Đại học Stanford,Stanford University <small>(B.A.)</small>,,,Goodwin Jess Knight,Provo; Utah,,,,California; Inglewood,,,,,,31st Governor of California (cropped).jpg; Goodwin J. Knight,,220px,,Goodwin Knight,,,Thống đốc bang California,,,Đảng Cộng Hòa (Hoa Kỳ),,,Earl Warren,,,,,,,Arville (d.1952); Virginia,,,Pat Brown,,,ngày 5 tháng 1 năm 1959,,,,ngày 5 tháng 10 năm 1953,,,,,
Grace Hopper,https://vi.wikipedia.org/wiki/Grace_Hopper,Đại học Yale,,American Campaign Medal; Armed Forces Reserve Medal with two Hourglass Devices; Defense Distinguished Service Medal; Legion of Merit; Meritorious Service Medal; National Defense Service Medal; Naval Reserve Medal; World War II Victory Medal,,,,,,,,,,,,,Commodore Grace M. Hopper; USN (covered).jpg,,,,Grace Murray Hopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Davis,https://vi.wikipedia.org/wiki/Gray_Davis,Đại học Stanford,,,,Joseph Graham Davis Jr,Bronx; New York; U.S,,,,,,,Columbia University; Stanford University,,,Gray Davis; portrait.jpg,,220px,,Gray Davis,,,,44th Lieutenant Governor of California,28th Controller of California,Democratic,Pete Wilson,Leo T. McCarthy,Kenneth Cory,Howard Berman,,,,,Gray Davis Signature.svg,,Arnold Schwarzenegger,Cruz Bustamante,Kathleen Connell,Terry Friedman,ngày 17 tháng 11 năm 2003,ngày 4 tháng 1 năm 1999,ngày 2 tháng 1 năm 1995,1986,ngày 4 tháng 1 năm 1999,ngày 2 tháng 1 năm 1995,ngày 5 tháng 1 năm 1987,1982,,,
Gregory Goodwin Pincus,https://vi.wikipedia.org/wiki/Gregory_Goodwin_Pincus,Đại học Harvard,Đại học Harvard,,,,Mỹ; New Jersey; Woodbine,,,,Boston; Mỹ,,,,Sinh học,,,,,Thuốc tránh thai,Gregory Goodwin Pincus,,,,,,,,,,,,,,Mỹ,,,,,,,,,,,,,,,Worcester Foundation for Experimental Biology; Đại học Harvard,,
Gregory P. Baxter,https://vi.wikipedia.org/wiki/Gregory_P._Baxter,Đại học Harvard,Đại học Harvard,,,,Massachusetts; Somerville,,,,Cambridge; Massachusetts,,,,,Hóa phân tích,,,,Xác định được trọng lượng nguyên tử,Gregory Paul Baxter,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,
Habib Essid,https://vi.wikipedia.org/wiki/Habib_Essid,Đại học Minnesota,"Twin Cities; Đại học Minnesota; Đại học Tunis<ref name=""whoiswho""> </ref>",,,,Sousse; Tunisia,,,,,,,,,,HabibEssid.jpg,,,,Habib Essid,,,Thủ tướng Tunisia,Bộ trưởng Bộ Nội vụ,,Độc lập,Mehdi Jomaa,Farhat Rajhi,,,Beji Caid Essebsi,,,,,,,Ali Laarayedh,,,,24 tháng 12 năm 2011,,,6 tháng 2 năm 2015,28 tháng 3 năm 2011,,,,,
Hamilton O. Smith,https://vi.wikipedia.org/wiki/Hamilton_O._Smith,Đại học Johns Hopkins,BA; MD; Đại học California tại Berkeley; Đại học Johns Hopkins,,23.8.1931,,,Hamilton O. Smith,,,,,,,Vi sinh vật học,,Hamilton Smith.jpg,,,enzyme giới hạn,Hamilton O. Smith,Hoa Kỳ,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa năm 1978,,,,,,,,,,,,,,,,,,,
Han Duck-soo,https://vi.wikipedia.org/wiki/Han_Duck-soo,Đại học Harvard,Đại học Harvard; Đại học Quốc gia Seoul,,,,Hàn Quốc<ref>Nay là Jeonju; Jeollabuk-do; Jeonbuk</ref>; Jeonju,Han năm 2024,,,,,,,,,PM Han Duck-soo.jpg,,250px,,Han Duck-soo,,,Tổng thống Hàn Quốc,,44 của Hàn Quốc; Thủ tướng thứ 34,Độc lập,Choi Sang-mok ''(Quyền)''; Yoon Suk-yeol,,Choo Kyung-ho (quyền); Kim Boo-kyum,Han Myeong-sook,,,,,Han Duck-soo signature.svg,Choi Ah-young,Lee Ju-ho  ''(Quyền)'',Choi Sang-mok ''(Quyền)'',Lee Ju-ho  ''(Quyền)'',Han Seung-soo,1 tháng 5 năm 2025,,,29 tháng 2 năm 2008,24 tháng 3 năm 2025,,21 tháng 5 năm 2022,3 tháng 4 năm 2007,,,
Harold E. Varmus,https://vi.wikipedia.org/wiki/Harold_E._Varmus,Đại học Columbia; Đại học Harvard,Amherst College; Đại học Columbia; Đại học Harvard,,,,New York; Oceanside,2007; Harold E. Varmus,,,,,,,cellular biology,,Harold Elliot (1939).jpg; Varmus,150px,,retroviral oncogenes,Harold E. Varmus,Hoa Kỳ,,,,,,,,,,,Giải Alfred P. Sloan; Giải Nobel Sinh lý; Giải Passano (1983); Jr. (1984); Y khoa năm 1989,,,,,,,,,,,,,,,,,,,
Harold G. Moore,https://vi.wikipedia.org/wiki/Harold_G._Moore,Đại học Harvard,,Bronze Star; Combat Infantryman Badge; Distinguished Service Cross; Legion of Merit; Purple Heart,,,,Trung tướng Hal Moore năm 2010,,,,,,,,,LTG(R) Hal Moore at West Point 10 May 2010.JPG,,,,Harold G. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Garfinkel,https://vi.wikipedia.org/wiki/Harold_Garfinkel,Đại học Harvard,,,,,New Jersey; Newark,,,,California; Los Angeles,,,,,social theory; sociology,Garfinkel2.TIF,,,ethnomethodological indifference; member methods; shop floor problem; unique adequacy requirement,Harold Garfinkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Urey,https://vi.wikipedia.org/wiki/Harold_Urey,Đại học Columbia,* Trường Đại học Earlham; * Đại học California; * Đại học Montana; Berkeley,,29 tháng 4 năm 1893,,Hoa Kỳ; Indiana; Walkerton,,,,California; Hoa Kỳ; La Jolla,Gilbert N. Lewis,* Harmon Craig; * Stanley Miller,,Hóa lý,,Harold_Urey.jpg,220px,,Thí nghiệm Urey-Miller,Harold Clayton Urey,,,,,,,,,,,,* Giải Nobel Hóa học (1934); * Giải Willard Gibbs (1934); * Huy chương Arthur L. Day (1969); * Huy chương Franklin (1943); * Huy chương Priestley (1934); * Huân chương Khoa học Quốc gia Hoa Kỳ (1964); * Uỷ viên của Hội Hoàng gia Anh<ref> </ref>,,,,,,,,,,,,,,,,,,* Viện Nghiên cứu Hạt nhân Hoa Kỳ; * Đại học California; * Đại học Chicago; * Đại học Columbia; * Đại học Copenhagen; * Đại học Johns Hopkins; San Diego,
Harry Hammond Hess,https://vi.wikipedia.org/wiki/Harry_Hammond_Hess,Đại học Yale,Đại học Princeton,,24 tháng 5 năm 1906,,,Harry Hess chỉ huy tàu USS ''Cape Johnson'',,25 tháng 8 năm 1969,,,,,Địa chất học,,Hess.gif,,,,Harry Hammond Hess,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Nyquist,https://vi.wikipedia.org/wiki/Harry_Nyquist,Đại học Yale,Đại học Bắc Dakota; Đại học Yale,IEEE Medal of Honor; Stuart Ballantine Medal (1960),,,Nilsby; Stora Kil; Thuỵ Điển; Varmland,Harry Nyquist (1889 - 1976),,,Harlingen; Mỹ; Texas,Henry Andrews Bumstead,,,,Kỹ sư Điện tử,Harry Nyquist.jpg,200px,,Bộ lọc Nyquist; Nhiễu Johnson–Nyquist; Quỹ đạo Nyquist; Tiêu chuẩn Nyquist ISI; Tiêu chuẩn ổn định Nyquist; Tần số Nyquist; Tỷ lệ Nyquist; Định lý lấy mẫu Nyquist–Shannon; Định lý suy giảm dao động,Harry Nyquist,,,,,,,,,,,,,,Mỹ,<!--(filename only)-->,,,,,,,,,,,,,,,,Phòng thí nghiệm Bell
Harry R. Lewis,https://vi.wikipedia.org/wiki/Harry_R._Lewis,Đại học Harvard,,<!--notable national level awards only-->,<!--year only per WP:BLPPRIVACY-->,,"242|isbn=0-06-056854-2; Boston<ref name=""bradley"">{{chú thích sách; |last=Bradley|first=Richard; |title=Harvard rules: the struggle for the soul of the world's most powerful university; |url=https://archive.org/details/harvardrules00rich|edition=1st |publisher=HarperCollins|year=2005|pages=[https://archive.org/details/harvardrules00rich/page/229 229]&ndash; }}</ref>",,,<!--   (death date then birth date) -->,,Burton Dreben,*John Reif; *William Gasarch; {{plainlist|1=; }},Trường Roxbury Latin; Đại học Harvard,,,frameless|upright=1|link=File:HarryLewis Harvard InMeeting 2012.jpg,,,,,Hoa Kỳ,,,,,,,,,,,,,,,"Marlyn McGrath (1968 present)<ref name=""bradley""/>",,,,,,,,,,,,,,,Harvard School of Engineering and Applied Sciences
